,campaign,campaign_bid_strategy,campaign_budget_remaining,campaign_buying_type,campaign_configured_status,campaign_created_time,campaign_daily_budget,campaign_effective_status,campaign_id,campaign_lifetime_budget,campaign_objective,campaign_special_ad_category,campaign_spend_cap,campaign_start_time,campaign_stop_time,campaignid,objective,spend,totalcost
0,ISP Group| acquisizione lead ufficio FE [Lead],,0.0,AUCTION,ACTIVE,2022-06-17T15:29:38+0200,,ACTIVE,6276031528507,,LEAD_GENERATION,HOUSING,,2022-06-17T15:29:39+0200,,6276031528507,LEAD_GENERATION,297.79,297.79
1,Zona 3|Promozione cantieri [LP],,0.0,AUCTION,ACTIVE,2022-07-06T12:43:34+0200,,ACTIVE,6278056823907,,LINK_CLICKS,HOUSING,,2022-07-06T13:03:28+0200,,6278056823907,LINK_CLICKS,1919.77,1919.77
2,Zona 3| Promozione immobili [Traffico],,0.0,AUCTION,ACTIVE,2022-09-02T10:29:29+0200,,ACTIVE,6284683133507,,OUTCOME_TRAFFIC,HOUSING,,2022-09-02T10:30:12+0200,,6284683133507,LINK_CLICKS,935.95,935.95
3,ISP Group |Promozione Cantieri  BO  [LP],,0.0,AUCTION,ACTIVE,2022-09-26T11:20:17+0200,,ACTIVE,6287720395307,,OUTCOME_TRAFFIC,HOUSING,,2022-09-26T11:20:18+0200,,6287720395307,LINK_CLICKS,903.3,903.3
4,Zona 2I Promozione cantieri [Lead],,0.0,AUCTION,ACTIVE,2022-09-26T16:18:18+0200,,ACTIVE,6287758706907,,OUTCOME_LEADS,HOUSING,,2022-09-26T16:18:19+0200,,6287758706907,OUTCOME_LEADS,581.08,581.08
5,Zona 3|Promozione cantieri [Lead],,0.0,AUCTION,ACTIVE,2022-09-26T17:21:29+0200,,ACTIVE,6287761775707,,OUTCOME_LEADS,HOUSING,,2022-09-26T17:30:38+0200,,6287761775707,OUTCOME_LEADS,748.37,748.37
6,Zona 1 I Promozione Immobili [Traffico],,0.0,AUCTION,ACTIVE,2022-09-28T10:14:52+0200,,ACTIVE,6288002978507,,OUTCOME_TRAFFIC,HOUSING,,2022-09-28T10:14:53+0200,2025-03-18T00:00:00+0100,6288002978507,LINK_CLICKS,300.82,300.82
7,Zona 2|Promozione Cantieri [LP],,0.0,AUCTION,ACTIVE,2023-01-23T17:05:41+0100,,ACTIVE,6302407581907,,OUTCOME_TRAFFIC,HOUSING,,2023-01-23T17:05:41+0100,,6302407581907,LINK_CLICKS,948.94,948.94
8,FKL | Promozione Cantieri CERVIA [LEADS],,0.0,AUCTION,ACTIVE,2023-07-27T17:02:26+0200,,ACTIVE,6373538954107,,OUTCOME_LEADS,HOUSING,,2023-07-27T17:02:26+0200,,6373538954107,OUTCOME_LEADS,1197.05,1197.05
9,ISP Group I Promozione immobili-cantieri FE I [ Traffico],,0.0,AUCTION,ACTIVE,2023-09-26T17:19:43+0200,,ACTIVE,6427010590707,,OUTCOME_TRAFFIC,HOUSING,,2023-09-26T17:30:33+0200,,6427010590707,LINK_CLICKS,533.31,533.31
10,Zona 4 | Campagna Acquisizione Imola| LEAD,,0.0,AUCTION,ACTIVE,2023-11-16T15:26:02+0100,,ACTIVE,6476818118907,,OUTCOME_LEADS,EMPLOYMENT,,2023-11-16T15:26:02+0100,,6476818118907,OUTCOME_LEADS,149.88,149.88
11,FKL | Pomo cantieri CERVIA | Traffico [LP],,0.0,AUCTION,ACTIVE,2024-02-01T13:57:21+0100,,ACTIVE,6544029035907,,OUTCOME_TRAFFIC,HOUSING,,2024-02-01T13:57:21+0100,,6544029035907,LINK_CLICKS,1360.98,1360.98
12,Isp Group | Servizi ISP | LP,,0.0,AUCTION,ACTIVE,2024-02-16T10:23:00+0100,,ACTIVE,6548404092707,,OUTCOME_TRAFFIC,HOUSING,,2024-02-16T10:23:01+0100,,6548404092707,LINK_CLICKS,602.08,602.08
13,Zona 2 | Promozione Immobili | [LP],,0.0,AUCTION,ACTIVE,2024-03-12T10:28:48+0100,,ACTIVE,6554355657507,,OUTCOME_TRAFFIC,HOUSING,,2024-03-12T10:28:49+0100,,6554355657507,LINK_CLICKS,301.04,301.04
14,ISP GROUP| Campagne recruiting,,0.0,AUCTION,ACTIVE,2024-04-24T11:01:52+0200,,ACTIVE,6567007894107,,OUTCOME_TRAFFIC,EMPLOYMENT,,2024-04-24T11:01:53+0200,,6567007894107,LINK_CLICKS,38.03,38.03
15,SSP| Articoli blog ISP 24 | Traffico,,0.0,AUCTION,ACTIVE,2024-04-30T11:18:26+0200,,ACTIVE,6568827832307,,OUTCOME_TRAFFIC,HOUSING,,2024-04-30T11:18:27+0200,2025-03-12T06:29:31+0100,6568827832307,LINK_CLICKS,36.61,36.61
16,Zona 1| Promozione cantieri [Traffico],,0.0,AUCTION,ACTIVE,2024-08-05T12:55:05+0200,,ACTIVE,6596053281707,,OUTCOME_TRAFFIC,HOUSING,,2024-08-05T12:55:05+0200,,6596053281707,LINK_CLICKS,66.64,66.64
