,ID_Immobile_cantiere,rif_cantiere,nome_cantiere,cantiere,stato_cantiere,agenzia,referente_cantiere,Indirizzo,coordinate,n_immobili,ID_Immobile,Rif,Stato_Immobile,Stato_trattativa,Richiesta,Macro_Tipologia,in_pubblicita,Tipologia,Sub_Tipologia,MQ_Commerciali_da,N_Bagni,N_Camere_da_Letto,Giardino,Ultimo_Agg_Prezzo,avanzamento_lavori,Inizio_Lavori,Consegna,classe_energetica,Latitudine,Longitudine
0,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45609.0,1016-19b,Venduto/Affittato da ISP,Stipula/Contratto,486600.0,Appartamento,Non in Pubblicità,Appartamento,Quadrilocale,113.0,2.0,2.0,Condominiale,,,,,*A+,44.5694,11.3605
1,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45611.0,1016-19c,Venduto/Affittato da ISP,Stipula/Contratto,391600.0,Appartamento,Non in Pubblicità,Appartamento,Quadrilocale,111.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
2,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45613.0,1016-19d,Venduto/Affittato da ISP,Stipula/Contratto,295000.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,98.0,2.0,2.0,Assente,,,,,*A+,44.5694,11.3605
3,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45615.0,1016-19g,Venduto/Affittato da ISP,Stipula/Contratto,355000.0,Appartamento,Non in Pubblicità,Appartamento,Quadrilocale,110.0,2.0,2.0,Condominiale,,,,,*A+,44.5694,11.3605
4,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45617.0,1016-19j,Venduto/Affittato da ISP,Stipula/Contratto,360000.0,Appartamento,Non in Pubblicità,Appartamento,Quadrilocale,113.0,2.0,3.0,Condominiale,,,,,*A+,44.5694,11.3605
5,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45619.0,1016-19k,Venduto/Affittato da ISP,Stipula/Contratto,441600.0,Appartamento,Non in Pubblicità,Appartamento,Quadrilocale,109.0,2.0,2.0,Condominiale,,,,,*A+,44.5694,11.3605
6,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45621.0,1016-19o,In Trattativa,Proposta,446000.0,Appartamento,Non in Pubblicità,Appartamento,5 Locali,144.0,2.0,3.0,Privato,,,,,A4,44.5694,11.3605
7,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45623.0,1016-19p,Pubblicato,,419000.0,Appartamento,In Pubblicità,Appartamento,Quadrilocale,127.0,2.0,3.0,Condominiale,,,,,A4,44.5694,11.3605
8,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45625.0,1016-19q,In Trattativa,Proposta,318000.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,98.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
9,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45627.0,1016-19r,In Trattativa,Proposta,355000.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,113.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
10,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45629.0,1016-19s,In Trattativa,Proposta,353000.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,114.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
11,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45631.0,1016-19t,In Trattativa,Proposta,429000.0,Appartamento,Non in Pubblicità,Appartamento,Quadrilocale,125.0,2.0,3.0,Condominiale,,,,,A4,44.5694,11.3605
12,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45633.0,1016-19u,In Trattativa,Proposta,328000.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,99.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
13,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45635.0,1016-19v,Pubblicato,,387000.0,Appartamento,In Pubblicità,Appartamento,Trilocale,112.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
14,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45637.0,1016-19w,In Trattativa,Proposta,363000.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,99.0,2.0,2.0,Condominiale,,,,,A4,44.5694,11.3605
15,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45639.0,1016-19x,Archiviato,,566600.0,Appartamento,Non in Pubblicità,Attico,Più di 5 Locali,163.0,2.0,5.0,Condominiale,,,,,*A+,44.5694,11.3605
16,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,45641.0,1016-19y,Pubblicato,,567000.0,Appartamento,In Pubblicità,Attico,Più di 5 Locali,164.0,2.0,3.0,Condominiale,,,,,A4,44.5694,11.3605
17,45337,1016-19,,1016-19 ,Cantiere/Gruppo Terminato,Castel Maggiore,Parmeggiani Claudio,"Castel Maggiore, Verdi snc","44.5694, 11.3605",19,47383.0,1016-19l,Venduto/Affittato da ISP,Stipula/Contratto,391600.0,Appartamento,Non in Pubblicità,Appartamento,Trilocale,97.0,2.0,2.0,Condominiale,,,,,*A+,44.5694,11.3605
18,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46783.0,1032-22a,Pubblicato,,370000.0,Villa o Villetta,In Pubblicità,Porzione di Bifamiliare,,160.0,2.0,3.0,Privato,,,,,A3,44.7411,11.437
19,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46785.0,1032-22b,Incarico (Non Pubblicato),,370000.0,Villa o Villetta,Non in Pubblicità,Porzione di Bifamiliare,,87.0,2.0,2.0,Privato,,,,,A3,44.7411,11.437
20,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46787.0,1032-22c,Pubblicato,,310000.0,Villa o Villetta,In Pubblicità,Porzione di Bifamiliare,,139.0,2.0,3.0,Privato,,,,,A3,44.7411,11.437
21,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46789.0,1032-22d,Incarico (Non Pubblicato),,310000.0,Villa o Villetta,Non in Pubblicità,Porzione di Bifamiliare,,103.0,2.0,3.0,Privato,,,,,,44.7411,11.437
22,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46791.0,1032-22e,Pubblicato,,350000.0,Villa o Villetta,In Pubblicità,Porzione di Bifamiliare,,157.0,2.0,3.0,Privato,,,,,A3,44.7411,11.437
23,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46793.0,1032-22f,Pubblicato,,350000.0,Villa o Villetta,In Pubblicità,Porzione di Bifamiliare,,157.0,2.0,3.0,Privato,,,,,,44.7411,11.437
24,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46795.0,1032-22g,Incarico (Non Pubblicato),,350000.0,Villa o Villetta,Non in Pubblicità,Porzione di Bifamiliare,,88.5,2.0,3.0,Privato,,,,,A3,44.7411,11.437
25,45341,1032-22,,1032-22 ,Cantiere/Gruppo Attivo,San Pietro in Casale,Ceneri Vittorio,"Galliera, via della Pace snc","44.7411, 11.437",8,46797.0,1032-22h,Incarico (Non Pubblicato),,350000.0,Villa o Villetta,Non in Pubblicità,Porzione di Bifamiliare,,88.5,2.0,3.0,Privato,,,,,A3,44.7411,11.437
26,45343,103-23,,103-23 ,Cantiere/Gruppo Attivo,Altedo,Torcasso Angela,"Malalbergo, via Cavedagnone Massei snc","44.6894, 11.5047",3,47011.0,103-23a,Pubblicato,,275000.0,Villa o Villetta,In Pubblicità,Villetta (Schiera - Trifamiliare - Quadrifamiliare),,145.0,2.0,3.0,Privato,,,,,A4,44.6894,11.5047
27,45343,103-23,,103-23 ,Cantiere/Gruppo Attivo,Altedo,Torcasso Angela,"Malalbergo, via Cavedagnone Massei snc","44.6894, 11.5047",3,47013.0,103-23b,Incarico (Non Pubblicato),,285000.0,Villa o Villetta,Non in Pubblicità,Villetta (Schiera - Trifamiliare - Quadrifamiliare),,160.0,2.0,3.0,Privato,,,,,A4,44.6894,11.5047
