"ID_Immobile","rif_cantiere","nome_cantiere","cantiere","referente_cantiere","stato_cantiere","Agenzia","Indirizzo","coordinate","n_immobili","Avanzamento_Lavori","Inizio_Lavori","Consegna"
"45337","1016-19",,"1016-19 ","Parmeggiani Claudio","Cantiere/Gruppo Terminato","Castel Maggiore","Castel Maggiore, Verdi snc","44.5694, 11.3605","19",,NULL,NULL
"45341","1032-22",,"1032-22 ","Ceneri Vittorio","Cantiere/Gruppo Attivo","San Pietro in Casale","Galliera, via della Pace snc","44.7411, 11.437","8",,NULL,NULL
"45343","103-23",,"103-23 ","Torcasso Angela","Cantiere/Gruppo Attivo","Altedo","Malalbergo, via Cavedagnone Massei snc","44.6894, 11.5047","3",,NULL,NULL
"45345","1037-21",,"1037-21 ","Ceneri Vittorio","Cantiere/Gruppo Terminato","San Pietro in Casale","San Pietro in Casale, Via De Zaiacomo 18","44.6991, 11.4029","8",,NULL,NULL
"45347","1055-19",,"1055-19 ","Ceneri Vittorio","Cantiere/Gruppo Terminato","San Pietro in Casale","San Pietro in Casale, Via Paolo Borsellino snc","44.6928, 11.3984","3",,NULL,NULL
"45349","1077-18",,"1077-18 ","Biondi Gianni","Cantiere/Gruppo Terminato","Divisioni Specialistiche","San Giorgio di Piano, via selvatico 1","44.6555, 11.3657","1",,NULL,NULL
"45351","1092-21",NULL,NULL,"Magli Stefano","Cantiere/Gruppo Attivo","San Giorgio di Piano","San Giorgio di Piano, Via Rita Levi Montalcini 1","44.6489, 11.3672","6",,NULL,NULL
"45353","1111-21",,"1111-21 ","Torre Antonio","Cantiere/Gruppo Attivo","Castenaso","Castenaso, Via Bixio snc","44.5071, 11.4811","11",,NULL,NULL
"45355","1137-19",,"1137-19 ","Tanchella Luca","Cantiere/Gruppo Attivo","Altedo","Malalbergo, via Rino Pezzoli snc","44.68793, 11.49832","1",,NULL,NULL
"45357","1146-19",,"1146-19 ","Magli Stefano","Cantiere/Gruppo Terminato","San Giorgio di Piano","Bentivoglio, Arrigo Boldrini snc","44.6358, 11.4172","6",,NULL,NULL
"45359","1157-21",,"1157-21 ","Ceneri Vittorio","Cantiere/Gruppo Attivo","San Pietro in Casale","San Pietro in Casale, Borsellino snc","44.69454, 11.39668","4",,NULL,NULL
"45361","116-23",,"116-23 ","Curzola Simone","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Bologna, Corticella 244","44.54721, 11.35559","5",,NULL,NULL
"45363","1-21",,"1-21 ","Magli Stefano","Cantiere/Gruppo Attivo","San Giorgio di Piano","Bentivoglio, Via Ilaria Alpi 1","44.6078, 11.381","2",,NULL,NULL
"45369","144-19",,"144-19 ","Ceneri Vittorio","Cantiere/Gruppo Attivo","San Pietro in Casale","San Pietro in Casale, Via Carlo Alberto dalla Chiesa Snc","44.7021, 11.40448","2",,NULL,NULL
"45371","145-21",,"145-21 ","Caselli Alessio","Cantiere/Gruppo Attivo","Cento","Crevalcore, via Provanone snc","44.7886, 11.2027","16",,NULL,NULL
"45373","15-23",,"15-23 ","Fabbri Riccardo","Cantiere/Gruppo Terminato","San Giorgio di Piano","San Giorgio di Piano, Via Fanin Snc","44.6529, 11.3724","6",,NULL,NULL
"45375","156-19",,"156-19 ","Curzola Simone","Cantiere/Gruppo Terminato","Divisioni Specialistiche","Bologna, vicolo degli Ariosti 3","44.4959, 11.3422","3",,NULL,NULL
"45379","186-20",,"186-20 ","Ceneri Vittorio","Cantiere/Gruppo Attivo","San Pietro in Casale","Galliera, Via XXV Aprile 1945 snc","44.73779, 11.43626","8",,NULL,NULL
"45381","195-22",,"195-22 ","Ceneri Vittorio","Cantiere/Gruppo Terminato","San Pietro in Casale","San Pietro in Casale, via Galliera Sud snc","44.6884, 11.397","5",,NULL,NULL
"45387","244-23",NULL,NULL,"Magli Stefano","Cantiere/Gruppo Attivo","San Giorgio di Piano","Bentivoglio, via Santa Maria in Duno snc","44.6159, 11.3398","1",,NULL,NULL
"45389","25-23",,"25-23 ","Caselli Alessio","Cantiere/Gruppo Terminato","Cento","Cento, Via Bologna 14","44.7296, 11.2855","2",,NULL,NULL
"45391","257-23",,"257-23 ","Torcasso Angela","Cantiere/Gruppo Terminato","Altedo","Malalbergo, via Chiavicone 5","44.6826, 11.4971","2",,NULL,"2025-01-27"
"45393","273-22",,"273-22 ","Magli Stefano","Cantiere/Gruppo Terminato","San Giorgio di Piano","San Giorgio di Piano, Via Rita Levi Montalcini snc","44.6489, 11.3672","1",,NULL,NULL
"45399","292-23",,"292-23 ","Musi Claudio","Cantiere/Gruppo Attivo","Granarolo","Granarolo dell'Emilia, Via Neri snc","44.55081, 11.44349","21",,NULL,NULL
"45401","29-23",,"29-23 ","Tassinari Stefano","Cantiere/Gruppo Terminato","Castel Maggiore","Castel Maggiore, Via Irma Bandiera 32","44.5712, 11.3622","1",,NULL,NULL
"45405","316-21",,"316-21 ","Tanchella Luca","Cantiere/Gruppo Terminato","Altedo","Malalbergo, via Dei Fumanti 1","44.6929, 11.502","12",,NULL,NULL
"45407","322-22",,"322-22 ","Parmeggiani Claudio","Cantiere/Gruppo Attivo","Castel Maggiore","San Giovanni in Persiceto, Via Castagnolo snc","44.636, 11.1849","18",,NULL,NULL
